Rank,Arina_Name,Region,Aria_Code,Population,Weight
,UnitedChina,Asia,uc,"1,443,378,414",18.53
2,India,Asia,in,"1,372,989,959",17.62
3,United States,Americas,us,"332,841,949",4.27
4,Indonesia,Asia[b],id,"272,248,500",3.49

,Arina_Name,Region,Sub_Aria_Code,Population
1,China,Asia,cn,"1,412,600,000"
57,Taiwan,Asia,tw,"23,375,314"
103,Hong Kong (China),Asia,hk,"7,403,100"
sum,UnitedChina,Asia,uc,"1,443,378,414"

36,Ukraine,Europe,ua,"41,130,432"
9,Russia,Europe[c],ru,"147,190,000"
sum,UnitedUkraine,Europe,uu,"188,320,432"

121,Palestine,Asia,ps,"5,227,193"
94,Israel,Asia,il,"9,539,900"
sum,UnitedPalestine,Asia,up,"14,767,093"
