Num,x1,x2,x3,x4,x5,x1Name,x2Name,x3Name,x4Name,x5Name,account,subArea,Population(K),GNI(M$)
1,jp,01,,,,Japan,Hokkaido,,,,,,5045,
2,jp,01,01,,,Japan,Hokkaido,Sapporo,札幌市,,,,1956,
3,jp,01,02,,,Japan,Hokkaido,Hakodate,函館市,,,,237,
4,jp,01,03,,,Japan,Hokkaido,Otaru,小樽市,,,,104,
5,jp,01,04,,,Japan,Hokkaido,Asahikawa,旭川市,,,,316,
6,jp,01,05,,,Japan,Hokkaido,Muroran,室蘭市,,,,75,
7,jp,01,06,,,Japan,Hokkaido,Kushiro,釧路市,,,,154,
8,jp,01,07,,,Japan,Hokkaido,Obihiro,帯広市,,,,161,
9,jp,01,08,,,Japan,Hokkaido,Kitami,北見市,,,,110,
10,jp,01,09,,,Japan,Hokkaido,Yuubari,夕張市,,,,6,
11,jp,01,10,,,Japan,Hokkaido,Iwamizawa,岩見沢市,,,,74,
12,jp,01,11,,,Japan,Hokkaido,Abashiri,網走市,,,,32,
13,jp,01,12,,,Japan,Hokkaido,Rumoi,留萌市,,,,18,
14,jp,01,13,,,Japan,Hokkaido,Tomakomai,苫小牧市,,,,166,
15,jp,01,14,,,Japan,Hokkaido,Wakkanai,稚内市,,,,30,
16,jp,01,15,,,Japan,Hokkaido,Bibai,美唄市,,,,18,
17,jp,01,16,,,Japan,Hokkaido,Ashibetsu,芦別市,,,,11,
18,jp,01,17,,,Japan,Hokkaido,Ebetsu,江別市,,,,118,
19,jp,01,18,,,Japan,Hokkaido,Akabira,赤平市,,,,8,
20,jp,01,19,,,Japan,Hokkaido,Monbetsu,紋別市,,,,20,
21,jp,01,20,,,Japan,Hokkaido,Shibetsu,士別市,,,,16,
22,jp,01,21,,,Japan,Hokkaido,Nayoro,名寄市,,,,25,
23,jp,01,22,,,Japan,Hokkaido,Mikasa,三笠市,,,,7,
24,jp,01,23,,,Japan,Hokkaido,Nemuro,根室市,,,,22,
25,jp,01,24,,,Japan,Hokkaido,Chitose,千歳市,,,,97,
26,jp,01,25,,,Japan,Hokkaido,Takikawa,滝川市,,,,37,
27,jp,01,26,,,Japan,Hokkaido,Sunagawa,砂川市,,,,15,
28,jp,01,27,,,Japan,Hokkaido,Utashinai,歌志内市,,,,3,
29,jp,01,28,,,Japan,Hokkaido,Fukagawa,深川市,,,,18,
30,jp,01,29,,,Japan,Hokkaido,Furano,富良野市,,,,20,
31,jp,01,30,,,Japan,Hokkaido,Noboribetsu,登別市,,,,44,
32,jp,01,31,,,Japan,Hokkaido,Eniwa,恵庭市,,,,70,
33,jp,01,32,,,Japan,Hokkaido,Date,伊達市,,,,31,
34,jp,01,33,,,Japan,Hokkaido,Kitahiroshima,北広島市,,,,56,
35,jp,01,34,,,Japan,Hokkaido,Ishikari,石狩市,,,,57,
36,jp,01,35,,,Japan,Hokkaido,Hokuto,北斗市,,,,43,
37,jp,01,36,,,Japan,Hokkaido,Ishikaritoubetsu,石狩郡当別町,,,,15,
38,jp,01,37,,,Japan,Hokkaido,Ishikarishinshinotsu,石狩郡新篠津村,,,,3,
39,jp,01,38,,,Japan,Hokkaido,Matsumaematsumae,松前郡松前町,,,,6,
40,jp,01,39,,,Japan,Hokkaido,Matsumaefukushima,松前郡福島町,,,,3,
41,jp,01,40,,,Japan,Hokkaido,Kamiisoshiriuchi,上磯郡知内町,,,,4,
42,jp,01,41,,,Japan,Hokkaido,Kamiisokikonai,上磯郡木古内町,,,,4,
43,jp,01,42,,,Japan,Hokkaido,Kamedananae,亀田郡七飯町,,,,27,
44,jp,01,43,,,Japan,Hokkaido,Kayabeshikabe,茅部郡鹿部町,,,,4,
45,jp,01,44,,,Japan,Hokkaido,Kayabemori,茅部郡森町,,,,14,
46,jp,01,45,,,Japan,Hokkaido,Futamiyakumo,二海郡八雲町,,,,15,
47,jp,01,46,,,Japan,Hokkaido,Yamakoshioshamanbe,山越郡長万部町,,,,5,
48,jp,01,47,,,Japan,Hokkaido,Hiyamaesashi,檜山郡江差町,,,,7,
49,jp,01,48,,,Japan,Hokkaido,Hiyamauenokuni,檜山郡上ノ国町,,,,4,
50,jp,01,49,,,Japan,Hokkaido,Hiyamaassabu,檜山郡厚沢部町,,,,3,
51,jp,01,50,,,Japan,Hokkaido,Nishiotobe,爾志郡乙部町,,,,3,
52,jp,01,51,,,Japan,Hokkaido,Okushiriokushiri,奥尻郡奥尻町,,,,2,
53,jp,01,52,,,Japan,Hokkaido,Setanaimagane,瀬棚郡今金町,,,,4,
54,jp,01,53,,,Japan,Hokkaido,Kudousetana,久遠郡せたな町,,,,7,
55,jp,01,54,,,Japan,Hokkaido,Shimamakishimamaki,島牧郡島牧村,,,,1,
56,jp,01,55,,,Japan,Hokkaido,Suttsusuttsu,寿都郡寿都町,,,,3,
57,jp,01,56,,,Japan,Hokkaido,Suttsukuromatsunai,寿都郡黒松内町,,,,2,
58,jp,01,57,,,Japan,Hokkaido,Isoyarankoshi,磯谷郡蘭越町,,,,5,
59,jp,01,58,,,Japan,Hokkaido,Abutaniseko,虻田郡ニセコ町,,,,6,
60,jp,01,59,,,Japan,Hokkaido,Abutamakkari,虻田郡真狩村,,,,2,
61,jp,01,60,,,Japan,Hokkaido,Abutarusutsu,虻田郡留寿都村,,,,2,
62,jp,01,61,,,Japan,Hokkaido,Abutakimobetsu,虻田郡喜茂別町,,,,2,
63,jp,01,62,,,Japan,Hokkaido,Abutakyougoku,虻田郡京極町,,,,3,
64,jp,01,63,,,Japan,Hokkaido,Abutakutchan,虻田郡倶知安町,,,,17,
65,jp,01,64,,,Japan,Hokkaido,Iwanaikyouwa,岩内郡共和町,,,,5,
66,jp,01,65,,,Japan,Hokkaido,Iwanaiiwanai,岩内郡岩内町,,,,11,
67,jp,01,66,,,Japan,Hokkaido,Furuuhaku,古宇郡泊村,,,,1,
68,jp,01,67,,,Japan,Hokkaido,Furuukamoenai,古宇郡神恵内村,,,,1,
69,jp,01,68,,,Japan,Hokkaido,Shakotanshakotan,積丹郡積丹町,,,,2,
70,jp,01,69,,,Japan,Hokkaido,Furubirafurubira,古平郡古平町,,,,3,
71,jp,01,70,,,Japan,Hokkaido,Yoniki,余市郡仁木町,,,,3,
72,jp,01,71,,,Japan,Hokkaido,Yoyo,余市郡余市町,,,,17,
73,jp,01,72,,,Japan,Hokkaido,Yoakaigawa,余市郡赤井川村,,,,1,
74,jp,01,73,,,Japan,Hokkaido,Sorachinanporo,空知郡南幌町,,,,8,
75,jp,01,74,,,Japan,Hokkaido,Sorachinaie,空知郡奈井江町,,,,5,
76,jp,01,75,,,Japan,Hokkaido,Sorachikamisunagawa,空知郡上砂川町,,,,2,
77,jp,01,76,,,Japan,Hokkaido,Yuubariyuni,夕張郡由仁町,,,,5,
78,jp,01,77,,,Japan,Hokkaido,Yuubarinaganuma,夕張郡長沼町,,,,10,
79,jp,01,78,,,Japan,Hokkaido,Yuubarikuriyama,夕張郡栗山町,,,,11,
80,jp,01,79,,,Japan,Hokkaido,Kabatotsukigata,樺戸郡月形町,,,,3,
81,jp,01,80,,,Japan,Hokkaido,Kabatourausu,樺戸郡浦臼町,,,,2,
82,jp,01,81,,,Japan,Hokkaido,Kabatoshintotsukawa,樺戸郡新十津川町,,,,6,
83,jp,01,82,,,Japan,Hokkaido,Uryuumoseushi,雨竜郡妹背牛町,,,,3,
84,jp,01,83,,,Japan,Hokkaido,Uryuuchippubetsu,雨竜郡秩父別町,,,,2,
85,jp,01,84,,,Japan,Hokkaido,Uryuuuryuu,雨竜郡雨竜町,,,,2,
86,jp,01,85,,,Japan,Hokkaido,Uryuuhokuryuu,雨竜郡北竜町,,,,2,
