a1,a2,a3,a4,a5,a6,"Num","x1","x2","x3","x4","x5","x1Name","x2Name","x3Name","x4Name","x5Name","account","subArea","Population(K)","GNI(M$)"
11002,北海道,,5044825,1,,1,,,,,,,,,,,,,,
11002,北海道,札幌市,1955678,1,1002,2,,,,,,,,,,,,,,
12025,北海道,函館市,236515,1,2025,3,,,,,,,,,,,,,,
12033,北海道,小樽市,104432,1,2033,4,,,,,,,,,,,,,,
12041,北海道,旭川市,316183,1,2041,5,,,,,,,,,,,,,,
12050,北海道,室蘭市,74855,1,2050,6,,,,,,,,,,,,,,
12068,北海道,釧路市,154271,1,2068,7,,,,,,,,,,,,,,
12076,北海道,帯広市,160810,1,2076,8,,,,,,,,,,,,,,
12084,北海道,北見市,110046,1,2084,9,,,,,,,,,,,,,,
12092,北海道,夕張市,6107,1,2092,10,,,,,,,,,,,,,,
12106,北海道,岩見沢市,74204,1,2106,11,,,,,,,,,,,,,,
12114,北海道,網走市,32199,1,2114,12,,,,,,,,,,,,,,
12122,北海道,留萌市,18169,1,2122,13,,,,,,,,,,,,,,
12131,北海道,苫小牧市,165590,1,2131,14,,,,,,,,,,,,,,
12149,北海道,稚内市,30336,1,2149,15,,,,,,,,,,,,,,
12157,北海道,美唄市,18427,1,2157,16,,,,,,,,,,,,,,
12165,北海道,芦別市,11243,1,2165,17,,,,,,,,,,,,,,
12173,北海道,江別市,118055,1,2173,18,,,,,,,,,,,,,,
12181,北海道,赤平市,8464,1,2181,19,,,,,,,,,,,,,,
12190,北海道,紋別市,19760,1,2190,20,,,,,,,,,,,,,,
12203,北海道,士別市,16440,1,2203,21,,,,,,,,,,,,,,
12211,北海道,名寄市,24742,1,2211,22,,,,,,,,,,,,,,
12220,北海道,三笠市,7268,1,2220,23,,,,,,,,,,,,,,
12238,北海道,根室市,22468,1,2238,24,,,,,,,,,,,,,,
12246,北海道,千歳市,97355,1,2246,25,,,,,,,,,,,,,,
12254,北海道,滝川市,36515,1,2254,26,,,,,,,,,,,,,,
12262,北海道,砂川市,15231,1,2262,27,,,,,,,,,,,,,,
12271,北海道,歌志内市,2584,1,2271,28,,,,,,,,,,,,,,
12289,北海道,深川市,18329,1,2289,29,,,,,,,,,,,,,,
12297,北海道,富良野市,19624,1,2297,30,,,,,,,,,,,,,,
12301,北海道,登別市,43615,1,2301,31,,,,,,,,,,,,,,
12319,北海道,恵庭市,70446,1,2319,32,,,,,,,,,,,,,,
12335,北海道,伊達市,31208,1,2335,33,,,,,,,,,,,,,,
12343,北海道,北広島市,56495,1,2343,34,,,,,,,,,,,,,,
12351,北海道,石狩市,57143,1,2351,35,,,,,,,,,,,,,,
12360,北海道,北斗市,42810,1,2360,36,,,,,,,,,,,,,,
13030,北海道,当別町,15113,1,3030,37,,,,,,,,,,,,,,
13048,北海道,新篠津村,2730,1,3048,38,,,,,,,,,,,,,,
13315,北海道,松前町,5818,1,3315,39,,,,,,,,,,,,,,
13323,北海道,福島町,3378,1,3323,40,,,,,,,,,,,,,,
13331,北海道,知内町,3783,1,3331,41,,,,,,,,,,,,,,
13340,北海道,木古内町,3528,1,3340,42,,,,,,,,,,,,,,
13374,北海道,七飯町,27139,1,3374,43,,,,,,,,,,,,,,
13439,北海道,鹿部町,3508,1,3439,44,,,,,,,,,,,,,,
13455,北海道,森町,13582,1,3455,45,,,,,,,,,,,,,,
13463,北海道,八雲町,14514,1,3463,46,,,,,,,,,,,,,,
13471,北海道,長万部町,4696,1,3471,47,,,,,,,,,,,,,,
13617,北海道,江差町,6607,1,3617,48,,,,,,,,,,,,,,
13625,北海道,上ノ国町,4133,1,3625,49,,,,,,,,,,,,,,
13633,北海道,厚沢部町,3269,1,3633,50,,,,,,,,,,,,,,
13641,北海道,乙部町,3107,1,3641,51,,,,,,,,,,,,,,
13676,北海道,奥尻町,2138,1,3676,52,,,,,,,,,,,,,,
13706,北海道,今金町,4444,1,3706,53,,,,,,,,,,,,,,
13714,北海道,せたな町,6730,1,3714,54,,,,,,,,,,,,,,
13919,北海道,島牧村,1246,1,3919,55,,,,,,,,,,,,,,
13927,北海道,寿都町,2629,1,3927,56,,,,,,,,,,,,,,
13935,北海道,黒松内町,2446,1,3935,57,,,,,,,,,,,,,,
13943,北海道,蘭越町,4501,1,3943,58,,,,,,,,,,,,,,
13951,北海道,ニセコ町,5551,1,3951,59,,,,,,,,,,,,,,
13960,北海道,真狩村,1938,1,3960,60,,,,,,,,,,,,,,
13978,北海道,留寿都村,2018,1,3978,61,,,,,,,,,,,,,,
13986,北海道,喜茂別町,1928,1,3986,62,,,,,,,,,,,,,,
13994,北海道,京極町,2776,1,3994,63,,,,,,,,,,,,,,
14001,北海道,倶知安町,17120,1,4001,64,,,,,,,,,,,,,,
14010,北海道,共和町,5364,1,4010,65,,,,,,,,,,,,,,
14028,北海道,岩内町,10913,1,4028,66,,,,,,,,,,,,,,
14036,北海道,泊村,1420,1,4036,67,,,,,,,,,,,,,,
14044,北海道,神恵内村,740,1,4044,68,,,,,,,,,,,,,,
14052,北海道,積丹町,1702,1,4052,69,,,,,,,,,,,,,,
14061,北海道,古平町,2589,1,4061,70,,,,,,,,,,,,,,
14079,北海道,仁木町,3051,1,4079,71,,,,,,,,,,,,,,
14087,北海道,余市町,16954,1,4087,72,,,,,,,,,,,,,,
14095,北海道,赤井川村,1492,1,4095,73,,,,,,,,,,,,,,
14231,北海道,南幌町,7933,1,4231,74,,,,,,,,,,,,,,
14249,北海道,奈井江町,4704,1,4249,75,,,,,,,,,,,,,,
14257,北海道,上砂川町,2360,1,4257,76,,,,,,,,,,,,,,
14273,北海道,由仁町,4527,1,4273,77,,,,,,,,,,,,,,
14281,北海道,長沼町,9937,1,4281,78,,,,,,,,,,,,,,
14290,北海道,栗山町,10653,1,4290,79,,,,,,,,,,,,,,
14303,北海道,月形町,2732,1,4303,80,,,,,,,,,,,,,,
14311,北海道,浦臼町,1577,1,4311,81,,,,,,,,,,,,,,
14320,北海道,新十津川町,6229,1,4320,82,,,,,,,,,,,,,,
14338,北海道,妹背牛町,2565,1,4338,83,,,,,,,,,,,,,,
14346,北海道,秩父別町,2182,1,4346,84,,,,,,,,,,,,,,
14362,北海道,雨竜町,2044,1,4362,85,,,,,,,,,,,,,,
14371,北海道,北竜町,1593,1,4371,86,,,,,,,,,,,,,,
14389,北海道,沼田町,2798,1,4389,87,,,,,,,,,,,,,,
14524,北海道,鷹栖町,6463,1,4524,88,,,,,,,,,,,,,,
14532,北海道,東神楽町,9775,1,4532,89,,,,,,,,,,,,,,
14541,北海道,当麻町,6054,1,4541,90,,,,,,,,,,,,,,
14559,北海道,比布町,3425,1,4559,91,,,,,,,,,,,,,,
14567,北海道,愛別町,2418,1,4567,,,,,,,,,,,,,,,
14575,北海道,上川町,3085,1,4575,,,,,,,,,,,,,,,
14583,北海道,東川町,8673,1,4583,,,,,,,,,,,,,,,
14591,北海道,美瑛町,9283,1,4591,,,,,,,,,,,,,,,
14605,北海道,上富良野町,9706,1,4605,,,,,,,,,,,,,,,
14613,北海道,中富良野町,4486,1,4613,,,,,,,,,,,,,,,
14621,北海道,南富良野町,2236,1,4621,,,,,,,,,,,,,,,
14630,北海道,占冠村,1590,1,4630,,,,,,,,,,,,,,,
14648,北海道,和寒町,2807,1,4648,,,,,,,,,,,,,,,
14656,北海道,剣淵町,2728,1,4656,,,,,,,,,,,,,,,
14681,北海道,下川町,2836,1,4681,,,,,,,,,,,,,,,
14699,北海道,美深町,3681,1,4699,,,,,,,,,,,,,,,
14702,北海道,音威子府村,601,1,4702,,,,,,,,,,,,,,,
14711,北海道,中川町,1269,1,4711,,,,,,,,,,,,,,,
14729,北海道,幌加内町,1222,1,4729,,,,,,,,,,,,,,,
14818,北海道,増毛町,3620,1,4818,,,,,,,,,,,,,,,
14826,北海道,小平町,2664,1,4826,,,,,,,,,,,,,,,
14834,北海道,苫前町,2666,1,4834,,,,,,,,,,,,,,,
14842,北海道,羽幌町,5945,1,4842,,,,,,,,,,,,,,,
14851,北海道,初山別村,1005,1,4851,,,,,,,,,,,,,,,
14869,北海道,遠別町,2258,1,4869,,,,,,,,,,,,,,,
14877,北海道,天塩町,2642,1,4877,,,,,,,,,,,,,,,
15113,北海道,猿払村,2589,1,5113,,,,,,,,,,,,,,,
15121,北海道,浜頓別町,3221,1,5121,,,,,,,,,,,,,,,
15130,北海道,中頓別町,1472,1,5130,,,,,,,,,,,,,,,
15148,北海道,枝幸町,7199,1,5148,,,,,,,,,,,,,,,
15164,北海道,豊富町,3515,1,5164,,,,,,,,,,,,,,,
15172,北海道,礼文町,2183,1,5172,,,,,,,,,,,,,,,
15181,北海道,利尻町,1830,1,5181,,,,,,,,,,,,,,,
15199,北海道,利尻富士町,2151,1,5199,,,,,,,,,,,,,,,
15202,北海道,幌延町,2042,1,5202,,,,,,,,,,,,,,,
15431,北海道,美幌町,17329,1,5431,,,,,,,,,,,,,,,
15440,北海道,津別町,3970,1,5440,,,,,,,,,,,,,,,
15458,北海道,斜里町,10513,1,5458,,,,,,,,,,,,,,,
15466,北海道,清里町,3622,1,5466,,,,,,,,,,,,,,,
15474,北海道,小清水町,4342,1,5474,,,,,,,,,,,,,,,
15491,北海道,訓子府町,4448,1,5491,,,,,,,,,,,,,,,
15504,北海道,置戸町,2543,1,5504,,,,,,,,,,,,,,,
15521,北海道,佐呂間町,4646,1,5521,,,,,,,,,,,,,,,
15555,北海道,遠軽町,17646,1,5555,,,,,,,,,,,,,,,
15598,北海道,湧別町,7901,1,5598,,,,,,,,,,,,,,,
15601,北海道,滝上町,2208,1,5601,,,,,,,,,,,,,,,
15610,北海道,興部町,3495,1,5610,,,,,,,,,,,,,,,
15628,北海道,西興部村,956,1,5628,,,,,,,,,,,,,,,
15636,北海道,雄武町,4033,1,5636,,,,,,,,,,,,,,,
15644,北海道,大空町,6441,1,5644,,,,,,,,,,,,,,,
15717,北海道,豊浦町,3491,1,5717,,,,,,,,,,,,,,,
15750,北海道,壮瞥町,2313,1,5750,,,,,,,,,,,,,,,
15784,北海道,白老町,15095,1,5784,,,,,,,,,,,,,,,
15814,北海道,厚真町,4227,1,5814,,,,,,,,,,,,,,,
15849,北海道,洞爺湖町,7906,1,5849,,,,,,,,,,,,,,,
15857,北海道,安平町,7214,1,5857,,,,,,,,,,,,,,,
15865,北海道,むかわ町,7221,1,5865,,,,,,,,,,,,,,,
16012,北海道,日高町,10904,1,6012,,,,,,,,,,,,,,,
16021,北海道,平取町,4435,1,6021,,,,,,,,,,,,,,,
16047,北海道,新冠町,5011,1,6047,,,,,,,,,,,,,,,
16071,北海道,浦河町,11231,1,6071,,,,,,,,,,,,,,,
16080,北海道,様似町,3777,1,6080,,,,,,,,,,,,,,,
16098,北海道,えりも町,4060,1,6098,,,,,,,,,,,,,,,
16101,北海道,新ひだか町,20229,1,6101,,,,,,,,,,,,,,,
